location_key,population,population_male,population_female,population_rural,population_urban,population_largest_city,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,date,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered
BR,212559409,104435783,108123626,27807886,183241641,21846507,25.431,0.754,29076910,31160446,34104643,34476762,29462006,24421202,16896862,8801551,4159027,2021-08-01,205397,100999346,87672,37306009,293069,138305355
BY,9449321,4399367,5049954,1983874,7482982,2016677,46.569,0.798,1143840,928883,1077802,1530348,1285401,1345791,1243251,525562,368443,2021-08-01,64694,1399234,120414,980867,185108,2380101
CA,37742157,18732178,19009979,6960780,30628482,6139404,4.15,0.926,3970921,3971320,5096616,5278661,4846667,5182433,4712744,3018676,1664119,2021-08-01,20711,27121797,124503,22532796,145468,49661157
CH,8544527,4237121,4307406,2242404,6332428,1383092,213.6,0.93,868184,841274,1052733,1215196,1204432,1281878,931525,705653,443652,2021-08-01,330,4728772,1141,4381871,1475,9025411
CI,26378275,13300380,13077895,12539644,13176900,5058550,82.951,0.492,7750286,6104858,4660994,3172215,2117552,1337226,822066,341744,71334,2021-08-01,11654,1019898,NA,NA,11654,1019898
CL,17574003,8972014,8601989,2341903,16610135,6723516,25.71,0.832,2428079,2493879,2995538,2945404,2578404,2352271,1791787,993126,537721,2021-08-01,38,13840248,437,12567632,474,25900926
CN,1439323774,738247340,701076434,554781038,842933962,26317104,153.312,0.752,170667620,166604610,185147170,228830425,216111763,222185873,151663905,71494305,26618103,2021-08-01,0,NA,NA,NA,19156000,1688683000
CO,50882884,24984564,25898320,9512141,40827302,10779376,45.861,0.747,7414155,8119876,8847061,7810299,6450787,5543980,3771358,1979761,945607,2021-08-01,160174,17962012,73718,12252821,226820,27751197
CU,11326616,5623468,5703148,2594348,8739135,2138419,106.413,0.769,1199376,1246732,1421019,1523033,1561982,1967295,1174022,804207,428950,2021-08-01,134667,4155261,25081,2680468,167186,10061236
CZ,10649800,5244194,5405606,2782553,7887156,1298804,137.7,0.878,1139146,1021305,1166994,1512166,1724438,1320174,1358902,973768,432907,2021-08-01,6741,5688563,14855,4747367,21596,10435935
DE,83019213,40966691,42052522,18807964,64324835,3556792,234.7,0.926,7588635,7705657,9800607,10646445,10426257,13474166,10302411,7685929,5389106,2021-08-01,34867,52410133,76107,44505685,105281,94411969
DK,5806081,2889073,2917008,698575,5119978,1333888,138,0.929,618216,683669,783879,681161,762648,797775,662929,552058,263746,2021-08-01,8807,4169347,19175,3173732,27985,7296963
