Player,Year,Season,Date,Age,Team,Location,Opponent,Win,PTS_TM,PTS_OPP,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
Michael Jordan,1988-1989,Regular,11/9/1988,25-266,CHI,Away,BOS,W ,110,104,1,42:00:00,18,33,0.545,2,4,0.5,14,16,0.875,0,3,3,2,9,2,2,4,52,44.4
Michael Jordan,1988-1989,Regular,11/11/1988,25-268,CHI,Home,NJN,W ,97,85,1,41:00:00,14,24,0.583,0,1,0,8,11,0.727,1,5,6,3,3,4,6,2,36,26.9
Michael Jordan,1988-1989,Regular,11/12/1988,25-269,CHI,Away,NJN,L ,91,97,1,43:00:00,17,31,0.548,0,3,0,8,12,0.667,2,5,7,6,3,1,1,2,42,34.5
Michael Jordan,1988-1989,Regular,11/15/1988,25-272,CHI,Home,PHI,W ,120,107,1,43:00:00,14,27,0.519,0,0,,5,6,0.833,1,5,6,6,5,1,3,2,33,27.6
Michael Jordan,1988-1989,Regular,11/16/1988,25-273,CHI,Away,PHI,L ,110,123,1,43:00:00,24,29,0.828,0,1,0,4,4,1,3,6,9,1,4,2,4,2,52,46.5
Michael Jordan,1988-1989,Regular,11/18/1988,25-275,CHI,Home,ATL,W ,115,112,1,49:00:00,12,21,0.571,0,0,,10,13,0.769,1,8,9,9,1,0,6,4,34,25.7
Michael Jordan,1988-1989,Regular,11/22/1988,25-279,CHI,Away,SAC,W ,114,98,1,38:00:00,16,20,0.8,0,0,,0,0,,1,10,11,8,1,1,2,3,32,32.2
Michael Jordan,1988-1989,Regular,11/23/1988,25-280,CHI,Away,LAC,L ,97,105,1,41:00:00,7,15,0.467,1,2,0.5,11,12,0.917,2,10,12,7,5,4,6,4,26,27.4
Michael Jordan,1988-1989,Regular,11/26/1988,25-283,CHI,Away,DEN,L ,123,128,1,44:00:00,19,27,0.704,3,5,0.6,11,14,0.786,2,9,11,7,1,0,6,3,52,42.3
Michael Jordan,1988-1989,Regular,11/29/1988,25-286,CHI,Away,GSW,L ,99,109,1,43:00:00,11,24,0.458,0,1,0,4,4,1,2,8,10,7,4,0,3,3,26,22.1
Michael Jordan,1988-1989,Regular,11/30/1988,25-287,CHI,Away,UTA,L ,93,107,1,39:00:00,11,25,0.44,0,1,0,11,13,0.846,4,4,8,5,2,1,3,1,33,25.9
Michael Jordan,1988-1989,Regular,12/3/1988,25-290,CHI,Away,DAL,W ,113,100,1,43:00:00,16,31,0.516,0,0,,7,8,0.875,3,8,11,6,2,3,2,5,39,32.1
Michael Jordan,1988-1989,Regular,12/6/1988,25-293,CHI,Home,BOS,W ,105,100,1,43:00:00,14,20,0.7,0,0,,10,11,0.909,2,7,9,5,5,0,6,4,38,33.6
Michael Jordan,1988-1989,Regular,12/7/1988,25-294,CHI,Away,DET,L ,89,102,1,40:00:00,4,16,0.25,0,0,,10,11,0.909,3,4,7,7,1,2,3,1,18,15.2
Michael Jordan,1988-1989,Regular,12/9/1988,25-296,CHI,Home,MIL,W ,118,100,1,40:00:00,10,17,0.588,0,2,0,15,17,0.882,3,8,11,5,1,1,5,3,35,29.8
Michael Jordan,1988-1989,Regular,12/10/1988,25-297,CHI,Home,MIA,W ,111,88,1,37:00:00,14,25,0.56,1,2,0.5,9,10,0.9,2,9,11,4,2,0,1,3,38,32.4
Michael Jordan,1988-1989,Regular,12/13/1988,25-300,CHI,Home,ATL,L ,88,106,1,41:00:00,11,24,0.458,0,1,0,6,6,1,2,12,14,6,2,0,1,3,28,24.6
Michael Jordan,1988-1989,Regular,12/16/1988,25-303,CHI,Home,IND,W ,100,93,1,38:00:00,10,22,0.455,0,3,0,8,9,0.889,3,4,7,7,6,0,2,4,28,26.8
Michael Jordan,1988-1989,Regular,12/17/1988,25-304,CHI,Away,MIL,W ,112,93,1,40:00:00,12,25,0.48,0,1,0,12,12,1,0,6,6,5,3,0,3,2,36,27.8
Michael Jordan,1988-1989,Regular,12/20/1988,25-307,CHI,Home,LAL,W ,116,103,1,39:00:00,11,23,0.478,2,3,0.667,18,22,0.818,4,3,7,8,4,0,1,0,42,41
Michael Jordan,1988-1989,Regular,12/23/1988,25-310,CHI,Away,CHH,L ,101,103,1,41:00:00,14,26,0.538,0,0,,5,6,0.833,2,3,5,4,6,0,7,5,33,22.1
Michael Jordan,1988-1989,Regular,12/27/1988,25-314,CHI,Home,CLE,L ,96,107,1,42:00:00,18,30,0.6,1,1,1,6,6,1,3,9,12,4,3,0,4,3,43,34.6
Michael Jordan,1988-1989,Regular,12/29/1988,25-316,CHI,Home,NYK,W ,108,106,1,40:00:00,14,27,0.519,0,2,0,9,12,0.75,1,8,9,3,3,0,3,2,37,26.9
Michael Jordan,1988-1989,Regular,12/30/1988,25-317,CHI,Away,IND,W ,101,85,1,37:00:00,13,26,0.5,0,0,,5,5,1,2,5,7,4,4,2,2,1,31,26.7
Michael Jordan,1988-1989,Regular,1/3/1989,25-321,CHI,Home,LAC,W ,126,121,1,47:00:00,15,30,0.5,0,3,0,11,15,0.733,1,9,10,11,6,0,4,5,41,35.5
Michael Jordan,1988-1989,Regular,1/5/1989,25-323,CHI,Away,CLE,L ,98,103,1,41:00:00,13,24,0.542,1,2,0.5,5,5,1,2,9,11,7,2,0,2,2,32,28.6
Michael Jordan,1988-1989,Regular,1/6/1989,25-324,CHI,Home,UTA,L ,92,106,1,37:00:00,12,21,0.571,0,0,,3,5,0.6,1,4,5,4,2,1,2,2,27,20.9
Michael Jordan,1988-1989,Regular,1/10/1989,25-328,CHI,Away,ATL,W ,104,101,1,41:00:00,17,29,0.586,0,2,0,14,16,0.875,4,6,10,9,3,0,4,2,48,42.8
Michael Jordan,1988-1989,Regular,1/11/1989,25-329,CHI,Away,CHH,W ,106,101,1,40:00:00,7,15,0.467,0,0,,10,11,0.909,1,3,4,10,3,1,6,4,24,20.6
Michael Jordan,1988-1989,Regular,1/13/1989,25-331,CHI,Home,DEN,W ,104,99,1,46:00:00,13,24,0.542,0,1,0,12,13,0.923,1,11,12,11,3,0,6,4,38,33.1
Michael Jordan,1988-1989,Regular,1/15/1989,25-333,CHI,Home,BOS,W ,110,104,1,41:00:00,13,23,0.565,0,3,0,16,17,0.941,1,8,9,11,8,0,2,2,42,46.7
Michael Jordan,1988-1989,Regular,1/17/1989,25-335,CHI,Home,IND,W ,103,96,1,44:00:00,10,18,0.556,0,1,0,2,4,0.5,1,5,6,13,4,1,2,4,22,25
Michael Jordan,1988-1989,Regular,1/19/1989,25-337,CHI,Away,MIA,W ,112,108,1,41:00:00,14,25,0.56,0,1,0,6,8,0.75,3,2,5,7,2,1,1,3,34,29.4
Michael Jordan,1988-1989,Regular,1/21/1989,25-339,CHI,Home,PHO,L ,107,116,1,41:00:00,20,28,0.714,0,0,,13,15,0.867,1,13,14,8,2,1,4,4,53,47.9
Michael Jordan,1988-1989,Regular,1/24/1989,25-342,CHI,Home,DAL,W ,109,91,1,33:00:00,10,20,0.5,0,1,0,4,5,0.8,1,2,3,6,3,0,1,1,24,20.7
Michael Jordan,1988-1989,Regular,1/25/1989,25-343,CHI,Away,PHI,L ,108,120,1,45:00:00,14,25,0.56,0,0,,5,5,1,0,6,6,12,2,1,2,5,33,30
Michael Jordan,1988-1989,Regular,1/27/1989,25-345,CHI,Home,WSB,W ,117,106,1,39:00:00,14,25,0.56,0,0,,5,8,0.625,3,8,11,9,3,1,1,4,33,31.8
Michael Jordan,1988-1989,Regular,1/31/1989,25-349,CHI,Home,DET,L ,98,104,1,41:00:00,7,24,0.292,0,1,0,7,10,0.7,3,9,12,10,2,1,5,6,21,12.9
Michael Jordan,1988-1989,Regular,2/2/1989,25-351,CHI,Home,SAC,W ,109,98,1,40:00:00,15,21,0.714,0,0,,10,12,0.833,1,6,7,8,4,0,6,2,40,35.8
Michael Jordan,1988-1989,Regular,2/3/1989,25-352,CHI,Away,HOU,L ,98,105,1,45:00:00,10,24,0.417,0,1,0,9,12,0.75,2,4,6,10,5,1,3,3,29,26.1
